threshold,seed,framework,admitted_fraction,steady_E_GMI,recovery_time,success_rate
0.5,9,DMM,0.92,0.016054182719501108,,0.047628865979381436
0.5,9,ISF,0.94,0.07759080081326115,,0.07378640776699028
0.5,10,DBL,0.92,0.010023584813746475,,0.05663157894736842
0.5,10,DMM,0.9,0.011215820567069544,,0.05355555555555555
0.5,10,ISF,0.88,0.08077842605134253,,0.07934065934065934
0.5,11,DBL,0.86,0.023833637851341218,,0.061395348837209304
0.5,11,DMM,0.86,0.02081655209285825,,0.053181818181818184
0.5,11,ISF,0.88,0.0715801598819353,,0.0602
0.5,12,DBL,0.92,0.00926362982060468,,0.049523809523809526
0.5,12,DMM,0.92,0.007702898065698266,,0.05009523809523809
0.5,12,ISF,0.86,0.08250857195003808,,0.07215686274509804
0.5,13,DBL,0.84,0.027567512084052264,,0.05295454545454545
0.5,13,DMM,0.82,0.02086378391602352,,0.06023529411764705
0.5,13,ISF,0.88,0.09679239519120206,,0.08185567010309278
0.5,14,DBL,0.9,0.02006271894234661,,0.051827956989247304
0.5,14,DMM,0.86,0.019492059419235114,,0.052808988764044947
0.5,14,ISF,0.9,0.0904953624595542,,0.08774193548387096
0.5,15,DBL,0.88,0.01661273929906138,,0.05376344086021506
0.5,15,DMM,0.86,0.014034877417991648,,0.05648351648351649
0.5,15,ISF,0.9,0.09414411505260026,,0.08610526315789474
0.5,16,DBL,0.84,0.010524884295752455,,0.05116279069767442
0.5,16,DMM,0.84,0.006565632977793922,,0.05162790697674419
0.5,16,ISF,0.9,0.07555854294434854,,0.06625
0.5,17,DBL,0.9,0.011391844157993132,,0.04795698924731182
0.5,17,DMM,0.9,0.011753314687155876,,0.05376344086021506
0.5,17,ISF,0.9,0.09521979566028566,,0.08638297872340425
0.5,18,DBL,0.9,0.018024267906629653,,0.05591836734693877
0.5,18,DMM,0.9,0.01734496962116891,,0.05551020408163265
0.5,18,ISF,0.88,0.07617184446173464,,0.07448275862068965
0.5,19,DBL,0.9,0.033042963316213,,0.060659340659340664
0.5,19,DMM,0.88,0.026103101807055346,,0.053258426966292134
0.5,19,ISF,0.94,0.07880963612406261,,0.07314285714285713
0.5,20,DBL,0.92,0.010795280606421572,,0.04833333333333334
0.5,20,DMM,0.86,0.013777076752357793,,0.04888888888888889
0.5,20,ISF,0.96,0.07435898593922037,,0.0696153846153846
0.5,21,DBL,0.92,0.016101420014458624,,0.049684210526315796
0.5,21,DMM,0.9,0.015974065990649843,,0.049565217391304345
0.5,21,ISF,0.86,0.06936265460885697,,0.06626506024096386
0.5,22,DBL,0.9,0.007777117102175021,,0.05062499999999999
0.5,22,DMM,0.9,0.005957213652183728,,0.04520833333333333
0.5,22,ISF,0.94,0.07372873531180485,,0.0787037037037037
0.5,23,DBL,0.88,0.004435707534383599,,0.04969072164948453
0.5,23,DMM,0.9,0.004501445321272832,,0.04891089108910892
0.5,23,ISF,0.9,0.09436690694793319,,0.09282608695652174
0.5,24,DBL,0.88,0.022739365074171198,,0.04666666666666666
0.5,24,DMM,0.86,0.021958454890770387,,0.05296703296703297
0.5,24,ISF,0.88,0.07195541891315133,,0.06886363636363636
0.5,25,DBL,0.84,0.020249844459687905,,0.05974999999999999
0.5,25,DMM,0.82,0.015516552863781547,,0.057402597402597406
