code,scenario,seed,dimension,spearman_rank_correlation,accepted
P6,D5_api_heavy,9026,D5,0.6273709483793517,False
P6,D5_api_heavy,9027,D5,0.45478991596638657,False
P6,D5_api_heavy,9028,D5,0.516734693877551,False
P6,D5_api_heavy,9029,D5,0.5878991596638654,False
P7,SVC_equal,9000,SVC,0.9486194477791116,True
P7,SVC_equal,9001,SVC,0.9373829531812724,True
P7,SVC_equal,9002,SVC,0.9511164465786314,True
P7,SVC_equal,9003,SVC,0.9522689075630252,True
P7,SVC_equal,9004,SVC,0.9178871548619447,True
P7,SVC_equal,9005,SVC,0.9346938775510203,True
P7,SVC_equal,9006,SVC,0.924609843937575,True
P7,SVC_equal,9007,SVC,0.9392076830732292,True
P7,SVC_equal,9008,SVC,0.9221128451380551,True
P7,SVC_equal,9009,SVC,0.946890756302521,True
P7,SVC_equal,9010,SVC,0.9649459783913565,True
P7,SVC_equal,9011,SVC,0.9451620648259302,True
P7,SVC_equal,9012,SVC,0.9478511404561825,True
P7,SVC_equal,9013,SVC,0.9506362545018008,True
P7,SVC_equal,9014,SVC,0.9464105642256901,True
P7,SVC_equal,9015,SVC,0.9545738295318127,True
P7,SVC_equal,9016,SVC,0.941704681872749,True
P7,SVC_equal,9017,SVC,0.9064585834333733,True
P7,SVC_equal,9018,SVC,0.9636014405762304,True
P7,SVC_equal,9019,SVC,0.9368067226890756,True
P7,SVC_equal,9020,SVC,0.8868667466986795,False
P7,SVC_equal,9021,SVC,0.9335414165666266,True
P7,SVC_equal,9022,SVC,0.9660024009603841,True
P7,SVC_equal,9023,SVC,0.9429531812725089,True
P7,SVC_equal,9024,SVC,0.9105882352941176,True
P7,SVC_equal,9025,SVC,0.9641776710684273,True
